Flip Percentage,Group,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
5.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
10.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
15.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
20.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
25.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
30.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
35.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
40.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
45.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
50.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
55.00000000000001,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
60.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
65.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
70.0,Male,Accuracy,0.83596,0.0032782515665112284,0.8347900000000001,0.005519972826020071
0.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
5.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
10.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
15.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
20.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
25.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
30.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
35.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
40.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
45.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
50.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
55.00000000000001,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
60.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
65.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
70.0,Male,Selection rate,0.13958000000000004,0.00394500528094281,0.12041000000000002,0.011623036990773489
0.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
5.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
10.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
15.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
20.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
25.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
30.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
35.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
40.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
45.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
50.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
55.00000000000001,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
60.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
65.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
70.0,Male,TPR,0.43499999999999994,0.013718778695237011,0.37922,0.02561734568607762
0.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
5.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
10.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
15.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
20.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
25.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
30.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
35.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
40.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
45.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
50.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
55.00000000000001,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
60.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
65.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
70.0,Male,TNR,0.9288199999999998,0.004242452121120516,0.9396700000000001,0.008934776624702673
0.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
5.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
10.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
15.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
20.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
25.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
30.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
35.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
40.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
45.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
50.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
55.00000000000001,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
60.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
65.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
70.0,Male,FPR,0.07118,0.00424245212112052,0.060329999999999995,0.008934776624702675
0.0,Male,FNR,0.5650000000000001,0.013718778695237006,0.6207800000000001,0.02561734568607762
5.0,Male,FNR,0.5650000000000001,0.013718778695237006,0.6207800000000001,0.02561734568607762
10.0,Male,FNR,0.5650000000000001,0.013718778695237006,0.6207800000000001,0.02561734568607762
15.0,Male,FNR,0.5650000000000001,0.013718778695237006,0.6207800000000001,0.02561734568607762
20.0,Male,FNR,0.5650000000000001,0.013718778695237006,0.6207800000000001,0.02561734568607762
