Flip Percentage,Group,Metric,Before Mean,Before SE,After Mean,After SE
0.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
5.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
10.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
15.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
20.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
25.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
30.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
35.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
40.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
45.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
50.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
55.00000000000001,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
60.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
65.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
70.0,Male,Accuracy,0.84849,0.002910229086057202,0.8462399999999999,0.003349434446456761
0.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
5.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
10.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
15.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
20.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
25.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
30.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
35.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
40.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
45.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
50.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
55.00000000000001,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
60.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
65.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
70.0,Male,Selection rate,0.12272000000000001,0.005250307927477524,0.11593,0.010845357941944049
0.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
5.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
10.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
15.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
20.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
25.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
30.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
35.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
40.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
45.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
50.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
55.00000000000001,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
60.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
65.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
70.0,Male,TPR,0.42386,0.014120451676754379,0.39920000000000005,0.028708763663925184
0.0,Male,TNR,0.9468,0.003937201487802664,0.94954,0.0067640750373655035
5.0,Male,TNR,0.9468,0.003937201487802664,0.94954,0.0067640750373655035
